LAST SEEN   TYPE      REASON                         OBJECT                                                       MESSAGE
3m36s       Normal    Scheduled                      pod/life-assistant-merchant-service-b9566645f-9b7gr          Successfully assigned default/life-assistant-merchant-service-b9566645f-9b7gr to izf8z9823mhcfvpm8llt12z
29m         Normal    Scheduled                      pod/life-assistant-settlement-service-6bcc59466d-p5k68       Successfully assigned default/life-assistant-settlement-service-6bcc59466d-p5k68 to izf8z9823mhcfvpm8llt12z
17m         Normal    Scheduled                      pod/life-assistant-engagement-service-5957b687f6-cd7nq       Successfully assigned default/life-assistant-engagement-service-5957b687f6-cd7nq to izf8z9823mhcfvpm8llt12z
12m         Normal    Scheduled                      pod/life-assistant-api-gateway-776675b754-f2sfr              Successfully assigned default/life-assistant-api-gateway-776675b754-f2sfr to izf8z9823mhcfvpm8llt12z
29m         Normal    Scheduled                      pod/life-assistant-fulfillment-service-85fc6b469b-m4jkj      Successfully assigned default/life-assistant-fulfillment-service-85fc6b469b-m4jkj to izf8z9823mhcfvpm8llt12z
14m         Normal    Scheduled                      pod/life-assistant-frontend-6cb65cc47c-99gcr                 Successfully assigned default/life-assistant-frontend-6cb65cc47c-99gcr to izf8z9823mhcfvpm8llt12z
27m         Normal    Scheduled                      pod/life-assistant-settlement-service-6bcc59466d-zc9wf       Successfully assigned default/life-assistant-settlement-service-6bcc59466d-zc9wf to izf8z9823mhcfvpm8llt12z
17m         Normal    Scheduled                      pod/life-assistant-settlement-service-6868b9dff9-4mcf4       Successfully assigned default/life-assistant-settlement-service-6868b9dff9-4mcf4 to izf8z9823mhcfvpm8llt12z
15m         Normal    Scheduled                      pod/life-assistant-merchant-service-59d8984b4f-462m6         Successfully assigned default/life-assistant-merchant-service-59d8984b4f-462m6 to izf8z9823mhcfvpm8llt12z
15m         Normal    Scheduled                      pod/life-assistant-merchant-service-59d8984b4f-ngk5x         Successfully assigned default/life-assistant-merchant-service-59d8984b4f-ngk5x to izf8z9823mhcfvpm8llt12z
15m         Normal    Scheduled                      pod/life-assistant-api-gateway-776675b754-zmgz7              Successfully assigned default/life-assistant-api-gateway-776675b754-zmgz7 to izf8z9823mhcfvpm8llt12z
17m         Normal    Scheduled                      pod/life-assistant-merchant-service-59d8984b4f-xtdt6         Successfully assigned default/life-assistant-merchant-service-59d8984b4f-xtdt6 to izf8z9823mhcfvpm8llt12z
17m         Normal    Scheduled                      pod/life-assistant-fulfillment-service-5f98ffd56f-ktld2      Successfully assigned default/life-assistant-fulfillment-service-5f98ffd56f-ktld2 to izf8z9823mhcfvpm8llt12z
20m         Normal    Scheduled                      pod/life-assistant-merchant-service-f754674fd-wkchl          Successfully assigned default/life-assistant-merchant-service-f754674fd-wkchl to izf8z9823mhcfvpm8llt12z
29m         Normal    Scheduled                      pod/life-assistant-user-service-c45b44cdf-9j7dv              Successfully assigned default/life-assistant-user-service-c45b44cdf-9j7dv to izf8z9823mhcfvpm8llt12z
17m         Normal    Scheduled                      pod/life-assistant-user-service-967b8fbb6-fwdgg              Successfully assigned default/life-assistant-user-service-967b8fbb6-fwdgg to izf8z9823mhcfvpm8llt12z
29m         Normal    Scheduled                      pod/life-assistant-merchant-service-97c5d8c95-4hcpq          Successfully assigned default/life-assistant-merchant-service-97c5d8c95-4hcpq to izf8z9823mhcfvpm8llt12z
13m         Normal    Scheduled                      pod/life-assistant-order-service-5d8996d9c5-c8rps            Successfully assigned default/life-assistant-order-service-5d8996d9c5-c8rps to izf8z9823mhcfvpm8llt12z
21m         Normal    Scheduled                      pod/life-assistant-merchant-service-f754674fd-tspxq          Successfully assigned default/life-assistant-merchant-service-f754674fd-tspxq to izf8z9823mhcfvpm8llt12z
29m         Normal    Scheduled                      pod/life-assistant-order-service-79d9584cf4-jlvlb            Successfully assigned default/life-assistant-order-service-79d9584cf4-jlvlb to izf8z9823mhcfvpm8llt12z
27m         Normal    Scheduled                      pod/life-assistant-api-gateway-789b5d7b79-596lw              Successfully assigned default/life-assistant-api-gateway-789b5d7b79-596lw to izf8z9823mhcfvpm8llt12z
18m         Normal    Scheduled                      pod/life-assistant-merchant-service-f754674fd-cszzn          Successfully assigned default/life-assistant-merchant-service-f754674fd-cszzn to izf8z9823mhcfvpm8llt12z
24m         Normal    Scheduled                      pod/life-assistant-merchant-service-97c5d8c95-96q8q          Successfully assigned default/life-assistant-merchant-service-97c5d8c95-96q8q to izf8z9823mhcfvpm8llt12z
27m         Normal    Scheduled                      pod/life-assistant-frontend-bbbc79df6-wlwfq                  Successfully assigned default/life-assistant-frontend-bbbc79df6-wlwfq to izf8z9823mhcfvpm8llt12z
18m         Normal    Scheduled                      pod/life-assistant-order-service-79d9584cf4-2cmx6            Successfully assigned default/life-assistant-order-service-79d9584cf4-2cmx6 to izf8z9823mhcfvpm8llt12z
29m         Normal    Scheduled                      pod/life-assistant-engagement-service-646486db9c-79swk       Successfully assigned default/life-assistant-engagement-service-646486db9c-79swk to izf8z9823mhcfvpm8llt12z
18m         Normal    Scheduled                      pod/life-assistant-merchant-service-f754674fd-9fxtk          Successfully assigned default/life-assistant-merchant-service-f754674fd-9fxtk to izf8z9823mhcfvpm8llt12z
